subskill,intent,Rscript_call,nl_prompt
mixed-models,"Mixed model with post_score by group2 and gender, random intercept for site","Rscript scripts/R/mixed_models.R --csv assets/sample-data/golden_dataset.csv --formula ""post_score ~ group2 + gender + (1|site)""",Mixed model for post_score with group2 and gender; random intercept for site.
mixed-models,"Mixed model with post_score by group2 and gender, random intercept for site","Rscript scripts/R/mixed_models.R --csv assets/sample-data/golden_dataset.csv --formula ""post_score ~ group2 + gender + (1|site)""",Use mixed-effects: post_score ~ group2 + gender + (1|site).
mixed-models,"Mixed model with post_score by group2 and gender, random intercept for site","Rscript scripts/R/mixed_models.R --csv assets/sample-data/golden_dataset.csv --formula ""post_score ~ group2 + gender + (1|site)""",Fit random-intercept model for post_score with group2 and gender (site as random).
mixed-models,"Mixed model with post_score by group2 and gender, random intercept for site","Rscript scripts/R/mixed_models.R --csv assets/sample-data/golden_dataset.csv --formula ""post_score ~ group2 + gender + (1|site)""",Run mixed model: post_score ~ group2 + gender + (1|site).
sem,Mediation SEM with x1 -> mediator -> outcome_reg plus covariates x2 x3,"Rscript scripts/R/sem.R --csv assets/sample-data/golden_dataset.csv --analysis sem --model ""outcome_reg ~ x1 + mediator + x2 + x3; mediator ~ x1 + x2 + x3""","Run a mediation SEM: x1 -> mediator -> outcome_reg, include x2 and x3 as covariates."
sem,Mediation SEM with x1 -> mediator -> outcome_reg plus covariates x2 x3,"Rscript scripts/R/sem.R --csv assets/sample-data/golden_dataset.csv --analysis sem --model ""outcome_reg ~ x1 + mediator + x2 + x3; mediator ~ x1 + x2 + x3""","Please fit a path model with x1 predicting mediator and outcome_reg, controlling x2/x3."
sem,Mediation SEM with x1 -> mediator -> outcome_reg plus covariates x2 x3,"Rscript scripts/R/sem.R --csv assets/sample-data/golden_dataset.csv --analysis sem --model ""outcome_reg ~ x1 + mediator + x2 + x3; mediator ~ x1 + x2 + x3""",SEM mediation: outcome_reg on x1 and mediator; mediator on x1; adjust x2/x3.
sem,Mediation SEM with x1 -> mediator -> outcome_reg plus covariates x2 x3,"Rscript scripts/R/sem.R --csv assets/sample-data/golden_dataset.csv --analysis sem --model ""outcome_reg ~ x1 + mediator + x2 + x3; mediator ~ x1 + x2 + x3""","I want a simple mediation SEM with x1, mediator, outcome_reg, plus covariates x2 and x3."
sem,Mediation SEM with x1 -> mediator -> outcome_reg plus covariates x2 x3,"Rscript scripts/R/sem.R --csv assets/sample-data/golden_dataset.csv --analysis sem --model ""outcome_reg ~ x1 + mediator + x2 + x3; mediator ~ x1 + x2 + x3""",Fit the mediation model where mediator carries x1 to outcome_reg; add x2/x3.
sem,Mediation SEM with x1 -> mediator -> outcome_reg plus covariates x2 x3,"Rscript scripts/R/sem.R --csv assets/sample-data/golden_dataset.csv --analysis sem --model ""outcome_reg ~ x1 + mediator + x2 + x3; mediator ~ x1 + x2 + x3""",Please estimate the x1 -> mediator -> outcome_reg SEM with x2 and x3 controls.
sem,Mediation SEM with x1 -> mediator -> outcome_reg plus covariates x2 x3,"Rscript scripts/R/sem.R --csv assets/sample-data/golden_dataset.csv --analysis sem --model ""outcome_reg ~ x1 + mediator + x2 + x3; mediator ~ x1 + x2 + x3""","Can you run the mediation SEM with x1, mediator, outcome_reg, and covariates x2/x3?"
sem,Mediation SEM with x1 -> mediator -> outcome_reg plus covariates x2 x3,"Rscript scripts/R/sem.R --csv assets/sample-data/golden_dataset.csv --analysis sem --model ""outcome_reg ~ x1 + mediator + x2 + x3; mediator ~ x1 + x2 + x3""",SEM path: mediator ~ x1 + x2 + x3; outcome_reg ~ x1 + mediator + x2 + x3.
sem,Mediation SEM with x1 -> mediator -> outcome_reg plus covariates x2 x3,"Rscript scripts/R/sem.R --csv assets/sample-data/golden_dataset.csv --analysis sem --model ""outcome_reg ~ x1 + mediator + x2 + x3; mediator ~ x1 + x2 + x3""","Run the mediation model in SEM form with x1, mediator, outcome_reg, controls x2/x3."
sem,Mediation SEM with x1 -> mediator -> outcome_reg plus covariates x2 x3,"Rscript scripts/R/sem.R --csv assets/sample-data/golden_dataset.csv --analysis sem --model ""outcome_reg ~ x1 + mediator + x2 + x3; mediator ~ x1 + x2 + x3""","Mediation SEM requested: x1 -> mediator -> outcome_reg, include x2 and x3."
anova,Mixed ANOVA with within pre/mid/post and between group2,"Rscript scripts/R/anova.R --csv assets/sample-data/golden_dataset.csv --within pre_score,mid_score,post_score --between group2 --subject-id id","Mixed ANOVA: within pre/mid/post, between group2, subject id = id."
anova,Mixed ANOVA with within pre/mid/post and between group2,"Rscript scripts/R/anova.R --csv assets/sample-data/golden_dataset.csv --within pre_score,mid_score,post_score --between group2 --subject-id id",Please run a repeated measures ANOVA with time (pre/mid/post) and group2.
anova,Mixed ANOVA with within pre/mid/post and between group2,"Rscript scripts/R/anova.R --csv assets/sample-data/golden_dataset.csv --within pre_score,mid_score,post_score --between group2 --subject-id id","I need a mixed ANOVA: within pre/mid/post, between group2."
anova,Mixed ANOVA with within pre/mid/post and between group2,"Rscript scripts/R/anova.R --csv assets/sample-data/golden_dataset.csv --within pre_score,mid_score,post_score --between group2 --subject-id id",Run the within-subjects ANOVA on pre/mid/post with group2 as between factor.
anova,Mixed ANOVA with within pre/mid/post and between group2,"Rscript scripts/R/anova.R --csv assets/sample-data/golden_dataset.csv --within pre_score,mid_score,post_score --between group2 --subject-id id",Do a mixed ANOVA with time (pre/mid/post) and group2 grouping.
anova,Mixed ANOVA with within pre/mid/post and between group2,"Rscript scripts/R/anova.R --csv assets/sample-data/golden_dataset.csv --within pre_score,mid_score,post_score --between group2 --subject-id id","Please fit the repeated measures ANOVA: pre/mid/post by group2, subject id."
anova,Mixed ANOVA with within pre/mid/post and between group2,"Rscript scripts/R/anova.R --csv assets/sample-data/golden_dataset.csv --within pre_score,mid_score,post_score --between group2 --subject-id id","ANOVA request: within factor time (pre/mid/post), between factor group2."
anova,Mixed ANOVA with within pre/mid/post and between group2,"Rscript scripts/R/anova.R --csv assets/sample-data/golden_dataset.csv --within pre_score,mid_score,post_score --between group2 --subject-id id",Mixed ANOVA on pre/mid/post with group2 as the between-subjects factor.
anova,Mixed ANOVA with within pre/mid/post and between group2,"Rscript scripts/R/anova.R --csv assets/sample-data/golden_dataset.csv --within pre_score,mid_score,post_score --between group2 --subject-id id",Run RM ANOVA for pre/mid/post with group2 between and id as subject.
anova,Mixed ANOVA with within pre/mid/post and between group2,"Rscript scripts/R/anova.R --csv assets/sample-data/golden_dataset.csv --within pre_score,mid_score,post_score --between group2 --subject-id id",Time x group2 mixed ANOVA on the three scores.
t-test,Paired t-test pre_score vs post_score,Rscript scripts/R/t_test.R --csv assets/sample-data/golden_dataset.csv --x pre_score --y post_score,Paired t-test comparing pre_score to post_score.
t-test,Paired t-test pre_score vs post_score,Rscript scripts/R/t_test.R --csv assets/sample-data/golden_dataset.csv --x pre_score --y post_score,Please run a paired t-test on pre vs post.
t-test,Paired t-test pre_score vs post_score,Rscript scripts/R/t_test.R --csv assets/sample-data/golden_dataset.csv --x pre_score --y post_score,I need a paired t-test for pre_score and post_score.
t-test,Paired t-test pre_score vs post_score,Rscript scripts/R/t_test.R --csv assets/sample-data/golden_dataset.csv --x pre_score --y post_score,Compare pre_score and post_score with a paired t-test.
t-test,Paired t-test pre_score vs post_score,Rscript scripts/R/t_test.R --csv assets/sample-data/golden_dataset.csv --x pre_score --y post_score,Run the paired t-test: pre_score vs post_score.
t-test,Paired t-test pre_score vs post_score,Rscript scripts/R/t_test.R --csv assets/sample-data/golden_dataset.csv --x pre_score --y post_score,Do a within-subject t-test for pre and post scores.
t-test,Paired t-test pre_score vs post_score,Rscript scripts/R/t_test.R --csv assets/sample-data/golden_dataset.csv --x pre_score --y post_score,"Paired t-test on the pre/post scores, please."
t-test,Paired t-test pre_score vs post_score,Rscript scripts/R/t_test.R --csv assets/sample-data/golden_dataset.csv --x pre_score --y post_score,Can you test pre vs post using a paired t-test?
t-test,Paired t-test pre_score vs post_score,Rscript scripts/R/t_test.R --csv assets/sample-data/golden_dataset.csv --x pre_score --y post_score,Please do a dependent t-test for pre_score and post_score.
t-test,Paired t-test pre_score vs post_score,Rscript scripts/R/t_test.R --csv assets/sample-data/golden_dataset.csv --x pre_score --y post_score,Paired-samples t-test: pre_score against post_score.
nonparametric,Friedman test across pre/mid/post scores,"Rscript scripts/R/nonparametric.R --csv assets/sample-data/golden_dataset.csv --within pre_score,mid_score,post_score --subject-id id --test friedman","Run a Friedman test across pre_score, mid_score, and post_score."
nonparametric,Friedman test across pre/mid/post scores,"Rscript scripts/R/nonparametric.R --csv assets/sample-data/golden_dataset.csv --within pre_score,mid_score,post_score --subject-id id --test friedman",Nonparametric repeated-measures test for pre/mid/post (Friedman).
nonparametric,Friedman test across pre/mid/post scores,"Rscript scripts/R/nonparametric.R --csv assets/sample-data/golden_dataset.csv --within pre_score,mid_score,post_score --subject-id id --test friedman",Please do a Friedman test on the three time scores.
nonparametric,Friedman test across pre/mid/post scores,"Rscript scripts/R/nonparametric.R --csv assets/sample-data/golden_dataset.csv --within pre_score,mid_score,post_score --subject-id id --test friedman","I need the Friedman test for pre, mid, post scores."
nonparametric,Friedman test across pre/mid/post scores,"Rscript scripts/R/nonparametric.R --csv assets/sample-data/golden_dataset.csv --within pre_score,mid_score,post_score --subject-id id --test friedman","Friedman repeated measures on pre_score, mid_score, post_score."
nonparametric,Friedman test across pre/mid/post scores,"Rscript scripts/R/nonparametric.R --csv assets/sample-data/golden_dataset.csv --within pre_score,mid_score,post_score --subject-id id --test friedman",Use a nonparametric RM test for pre/mid/post (Friedman).
nonparametric,Friedman test across pre/mid/post scores,"Rscript scripts/R/nonparametric.R --csv assets/sample-data/golden_dataset.csv --within pre_score,mid_score,post_score --subject-id id --test friedman",Run the Friedman test for the three timepoints.
nonparametric,Friedman test across pre/mid/post scores,"Rscript scripts/R/nonparametric.R --csv assets/sample-data/golden_dataset.csv --within pre_score,mid_score,post_score --subject-id id --test friedman",Nonparametric alternative to RM ANOVA on pre/mid/post: Friedman.
nonparametric,Friedman test across pre/mid/post scores,"Rscript scripts/R/nonparametric.R --csv assets/sample-data/golden_dataset.csv --within pre_score,mid_score,post_score --subject-id id --test friedman","Please compute Friedman on pre_score, mid_score, post_score."
nonparametric,Friedman test across pre/mid/post scores,"Rscript scripts/R/nonparametric.R --csv assets/sample-data/golden_dataset.csv --within pre_score,mid_score,post_score --subject-id id --test friedman","Do the Friedman test for pre/mid/post with id as subject."
